Id,dest,cap,arr,dep,inb,type
0,2,40,236,0,1,Inbound train without any special treatment.
1,1,40,721,0,1,Inbound train without any special treatment.
2,2,40,693,0,1,Inbound train without any special treatment.
3,2,40,305,0,1,Inbound train without any special treatment.
4,1,40,216,0,1,Inbound train without any special treatment.
5,2,40,497,0,1,Inbound train without any special treatment.
6,2,40,673,0,1,Inbound train without any special treatment.
7,1,40,558,0,1,Inbound train without any special treatment.
8,1,40,457,0,1,Inbound train without any special treatment.
9,2,40,193,0,1,Inbound train without any special treatment.
10,1,40,153,0,1,Inbound train with special treatment.
11,2,40,406,0,1,Inbound train with special treatment.
12,2,40,765,0,1,Inbound train with special treatment.
13,1,40,472,0,1,Inbound train with special treatment.
14,2,40,457,0,1,Inbound train with special treatment.
15,2,40,326,0,1,Inbound train with special treatment.
16,2,40,338,0,1,Inbound train with special treatment.
17,2,40,160,0,1,Inbound train with special treatment.
18,1,40,467,0,1,Inbound train with special treatment.
19,2,40,15,0,1,Inbound train with special treatment.
20,1,40,0,1117,0,Outbound train that leaves the yard from the classification tracks.
21,1,40,0,1363,0,Outbound train that leaves the yard from the classification tracks.
22,2,40,0,667,0,Outbound train that leaves the yard from the classification tracks.
23,2,40,0,1235,0,Outbound train that leaves the yard from the classification tracks.
24,1,40,0,1191,0,Outbound train that leaves the yard from the classification tracks.
25,1,40,0,757,0,Outbound train that leaves the yard from the classification tracks.
26,1,40,0,1337,0,Outbound train that leaves the yard from the classification tracks.
27,1,40,0,862,0,Outbound train that leaves the yard from the classification tracks.
28,2,40,0,1204,0,Outbound train that leaves the yard from the classification tracks.
29,2,40,0,718,0,Outbound train that leaves the yard from the classification tracks.
30,1,40,0,1108,0,Outbound train that leaves the yard from the departure tracks.
31,1,40,0,631,0,Outbound train that leaves the yard from the departure tracks.
32,1,40,0,870,0,Outbound train that leaves the yard from the departure tracks.
33,2,40,0,1076,0,Outbound train that leaves the yard from the departure tracks.
34,2,40,0,1131,0,Outbound train that leaves the yard from the departure tracks.
35,2,40,0,1225,0,Outbound train that leaves the yard from the departure tracks.
36,2,40,0,732,0,Outbound train that leaves the yard from the departure tracks.
37,2,40,0,1297,0,Outbound train that leaves the yard from the departure tracks.
38,2,40,0,1363,0,Outbound train that leaves the yard from the departure tracks.
39,1,40,0,844,0,Outbound train that leaves the yard from the departure tracks.
