Id,dest,cap,arr,dep,inb,type
0,3,40,321,0,1,Inbound train without any special treatment.
1,1,40,426,0,1,Inbound train without any special treatment.
2,1,40,701,0,1,Inbound train without any special treatment.
3,4,40,220,0,1,Inbound train without any special treatment.
4,1,40,790,0,1,Inbound train without any special treatment.
5,2,40,80,0,1,Inbound train without any special treatment.
6,2,40,14,0,1,Inbound train without any special treatment.
7,5,40,291,0,1,Inbound train without any special treatment.
8,4,40,13,0,1,Inbound train without any special treatment.
9,1,40,122,0,1,Inbound train without any special treatment.
10,3,40,667,0,1,Inbound train with special treatment.
11,2,40,82,0,1,Inbound train with special treatment.
12,3,40,664,0,1,Inbound train with special treatment.
13,5,40,172,0,1,Inbound train with special treatment.
14,3,40,207,0,1,Inbound train with special treatment.
15,3,40,247,0,1,Inbound train with special treatment.
16,4,40,349,0,1,Inbound train with special treatment.
17,3,40,588,0,1,Inbound train with special treatment.
18,3,40,750,0,1,Inbound train with special treatment.
19,1,40,273,0,1,Inbound train with special treatment.
20,3,40,0,694,0,Outbound train that leaves the yard from the classification tracks.
21,2,40,0,1141,0,Outbound train that leaves the yard from the classification tracks.
22,5,40,0,869,0,Outbound train that leaves the yard from the classification tracks.
23,2,40,0,885,0,Outbound train that leaves the yard from the classification tracks.
24,1,40,0,1001,0,Outbound train that leaves the yard from the classification tracks.
25,4,40,0,1130,0,Outbound train that leaves the yard from the classification tracks.
26,4,40,0,1265,0,Outbound train that leaves the yard from the classification tracks.
27,1,40,0,791,0,Outbound train that leaves the yard from the classification tracks.
28,2,40,0,921,0,Outbound train that leaves the yard from the classification tracks.
29,2,40,0,859,0,Outbound train that leaves the yard from the classification tracks.
30,5,40,0,611,0,Outbound train that leaves the yard from the departure tracks.
31,1,40,0,1213,0,Outbound train that leaves the yard from the departure tracks.
32,3,40,0,671,0,Outbound train that leaves the yard from the departure tracks.
33,1,40,0,1183,0,Outbound train that leaves the yard from the departure tracks.
34,3,40,0,1291,0,Outbound train that leaves the yard from the departure tracks.
35,3,40,0,666,0,Outbound train that leaves the yard from the departure tracks.
36,4,40,0,712,0,Outbound train that leaves the yard from the departure tracks.
37,5,40,0,739,0,Outbound train that leaves the yard from the departure tracks.
38,5,40,0,1155,0,Outbound train that leaves the yard from the departure tracks.
39,4,40,0,737,0,Outbound train that leaves the yard from the departure tracks.
