Id,dest,cap,arr,dep,inb,type
0,1,40,42,0,1,Inbound train without any special treatment.
1,2,40,252,0,1,Inbound train without any special treatment.
2,2,40,743,0,1,Inbound train without any special treatment.
3,1,40,660,0,1,Inbound train without any special treatment.
4,1,40,564,0,1,Inbound train without any special treatment.
5,2,40,514,0,1,Inbound train without any special treatment.
6,2,40,731,0,1,Inbound train without any special treatment.
7,1,40,14,0,1,Inbound train without any special treatment.
8,2,40,574,0,1,Inbound train without any special treatment.
9,2,40,725,0,1,Inbound train without any special treatment.
10,1,40,238,0,1,Inbound train with special treatment.
11,2,40,75,0,1,Inbound train with special treatment.
12,2,40,604,0,1,Inbound train with special treatment.
13,1,40,306,0,1,Inbound train with special treatment.
14,1,40,570,0,1,Inbound train with special treatment.
15,1,40,399,0,1,Inbound train with special treatment.
16,1,40,286,0,1,Inbound train with special treatment.
17,2,40,104,0,1,Inbound train with special treatment.
18,2,40,158,0,1,Inbound train with special treatment.
19,2,40,102,0,1,Inbound train with special treatment.
20,2,40,0,1102,0,Outbound train that leaves the yard from the classification tracks.
21,1,40,0,1064,0,Outbound train that leaves the yard from the classification tracks.
22,1,40,0,902,0,Outbound train that leaves the yard from the classification tracks.
23,2,40,0,1192,0,Outbound train that leaves the yard from the classification tracks.
24,1,40,0,724,0,Outbound train that leaves the yard from the classification tracks.
25,1,40,0,698,0,Outbound train that leaves the yard from the classification tracks.
26,2,40,0,909,0,Outbound train that leaves the yard from the classification tracks.
27,2,40,0,1143,0,Outbound train that leaves the yard from the classification tracks.
28,2,40,0,1267,0,Outbound train that leaves the yard from the classification tracks.
29,2,40,0,993,0,Outbound train that leaves the yard from the classification tracks.
30,1,40,0,784,0,Outbound train that leaves the yard from the departure tracks.
31,1,40,0,1251,0,Outbound train that leaves the yard from the departure tracks.
32,2,40,0,711,0,Outbound train that leaves the yard from the departure tracks.
33,2,40,0,757,0,Outbound train that leaves the yard from the departure tracks.
34,1,40,0,1080,0,Outbound train that leaves the yard from the departure tracks.
35,2,40,0,1008,0,Outbound train that leaves the yard from the departure tracks.
36,1,40,0,1336,0,Outbound train that leaves the yard from the departure tracks.
37,2,40,0,1155,0,Outbound train that leaves the yard from the departure tracks.
38,1,40,0,902,0,Outbound train that leaves the yard from the departure tracks.
39,1,40,0,1199,0,Outbound train that leaves the yard from the departure tracks.
