   0   ARR duration    5 train   0 eb    95 lb    95 needs  receiving_track
   1   UNC duration   30 train   0 eb   100 lb  1390 needs  uncoupling
   2   SPC duration   20 train   0 eb   100 lb  1400 needs  brake_check
   3   SPC duration   20 train   0 eb   100 lb  1400 needs  locomotive
   4   HUM duration   15 train   0 eb   130 lb  1420 needs  receiving_track
   5   HUM duration   15 train   0 eb   130 lb  1420 needs  hump
   6   HUM duration   15 train   0 eb   130 lb  1420 needs  humping_locomotive
   7   ARR duration    5 train   1 eb   395 lb   395 needs  receiving_track
   8   UNC duration   30 train   1 eb   400 lb  1390 needs  uncoupling
   9   SPC duration   20 train   1 eb   400 lb  1400 needs  brake_check
  10   SPC duration   20 train   1 eb   400 lb  1400 needs  locomotive
  11   HUM duration   15 train   1 eb   430 lb  1420 needs  receiving_track
  12   HUM duration   15 train   1 eb   430 lb  1420 needs  hump
  13   HUM duration   15 train   1 eb   430 lb  1420 needs  humping_locomotive
  14   ARR duration    5 train   2 eb   295 lb   295 needs  receiving_track
  15   UNC duration   30 train   2 eb   300 lb  1390 needs  uncoupling
  16   SPC duration   20 train   2 eb   300 lb  1400 needs  brake_check
  17   SPC duration   20 train   2 eb   300 lb  1400 needs  locomotive
  18   HUM duration   15 train   2 eb   330 lb  1420 needs  receiving_track
  19   HUM duration   15 train   2 eb   330 lb  1420 needs  hump
  20   HUM duration   15 train   2 eb   330 lb  1420 needs  humping_locomotive
  21   ARR duration    5 train   3 eb   143 lb   143 needs  receiving_track
  22   UNC duration   30 train   3 eb   148 lb  1390 needs  uncoupling
  23   SPC duration   20 train   3 eb   148 lb  1400 needs  brake_check
  24   SPC duration   20 train   3 eb   148 lb  1400 needs  locomotive
  25   HUM duration   15 train   3 eb   178 lb  1420 needs  receiving_track
  26   HUM duration   15 train   3 eb   178 lb  1420 needs  hump
  27   HUM duration   15 train   3 eb   178 lb  1420 needs  humping_locomotive
  28   ARR duration    5 train   4 eb   343 lb   343 needs  receiving_track
  29   UNC duration   30 train   4 eb   348 lb  1390 needs  uncoupling
  30   SPC duration   20 train   4 eb   348 lb  1400 needs  brake_check
  31   SPC duration   20 train   4 eb   348 lb  1400 needs  locomotive
  32   HUM duration   15 train   4 eb   378 lb  1420 needs  receiving_track
  33   HUM duration   15 train   4 eb   378 lb  1420 needs  hump
