dest,inb train,nb rc
1,0,4
2,0,1
1,0,4
2,0,2
1,1,6
2,1,5
1,1,5
2,1,6
1,2,2
1,2,5
2,2,6
2,2,4
1,3,4
2,3,5
1,3,2
2,3,7
2,4,5
1,4,5
1,4,5
2,4,5
2,5,7
2,5,2
2,5,6
2,5,5
1,6,6
2,6,2
1,6,2
2,6,6
1,7,6
2,7,6
1,7,6
2,7,1
2,8,1
2,8,4
1,8,1
1,8,3
1,9,5
2,9,6
1,9,7
1,9,3
1,10,7
1,10,6
1,10,4
2,10,5
1,11,3
2,11,6
1,11,4
1,11,5
2,12,5
1,12,1
1,12,4
1,12,2
2,13,2
2,13,4
1,13,5
1,13,3
2,14,4
2,14,4
2,14,6
2,14,2
2,15,5
2,15,6
2,15,2
1,15,6
1,16,6
1,16,3
2,16,4
2,16,2
2,17,4
2,17,1
2,17,7
1,17,2
2,18,2
2,18,2
1,18,2
1,18,2
2,19,4
2,19,7
2,19,6
2,19,6
