dest,inb train,nb rc
1,0,1
2,0,1
2,0,2
2,0,4
2,1,1
1,1,1
1,1,2
1,1,5
2,2,2
2,2,2
2,2,4
2,2,1
1,3,5
2,3,2
1,3,1
2,3,3
2,4,5
1,4,4
2,4,5
1,4,2
2,5,1
2,5,2
2,5,4
2,5,5
2,6,2
1,6,1
2,6,2
1,6,3
2,7,5
2,7,4
1,7,3
2,7,2
1,8,1
2,8,5
1,8,1
1,8,1
2,9,1
2,9,4
2,9,2
2,9,2
2,10,3
2,10,1
1,10,1
2,10,3
1,11,2
2,11,2
1,11,3
1,11,2
1,12,4
1,12,4
2,12,2
1,12,5
1,13,2
1,13,2
1,13,1
1,13,2
1,14,2
2,14,1
2,14,5
1,14,2
2,15,2
1,15,5
1,15,1
2,15,1
2,16,5
1,16,5
2,16,3
1,16,4
1,17,5
2,17,1
2,17,3
2,17,5
1,18,5
2,18,2
1,18,4
2,18,1
1,19,5
2,19,5
2,19,1
2,19,2
