dest,inb train,nb rc
1,0,6
1,0,6
1,0,1
1,0,6
1,1,2
1,1,4
1,1,5
1,1,5
1,2,3
1,2,4
1,2,5
1,2,1
1,3,7
1,3,4
1,3,1
1,3,4
1,4,3
1,4,1
1,4,4
1,4,5
1,5,4
1,5,6
1,5,4
1,5,6
1,6,1
1,6,2
1,6,2
1,6,4
1,7,7
1,7,2
1,7,4
1,7,6
1,8,2
1,8,7
1,8,7
1,8,1
1,9,6
1,9,3
1,9,6
1,9,7
1,10,4
1,10,2
1,10,3
1,10,5
1,11,4
1,11,2
1,11,2
1,11,6
1,12,7
1,12,4
1,12,2
1,12,5
1,13,3
1,13,7
1,13,1
1,13,3
1,14,4
1,14,4
1,14,3
1,14,2
1,15,1
1,15,4
1,15,5
1,15,1
1,16,7
1,16,4
1,16,3
1,16,5
1,17,2
1,17,7
1,17,5
1,17,1
1,18,6
1,18,4
1,18,6
1,18,4
1,19,2
1,19,1
1,19,1
1,19,3
