dest,inb train,nb rc
3,0,1
2,0,9
2,0,2
4,0,9
3,1,5
4,1,9
3,1,7
3,1,9
2,2,6
3,2,4
4,2,1
1,2,9
2,3,1
2,3,8
2,3,8
1,3,1
2,4,6
3,4,6
1,4,6
5,4,7
5,5,3
2,5,1
5,5,8
3,5,1
1,6,8
4,6,8
2,6,6
3,6,4
1,7,5
2,7,1
5,7,1
2,7,6
1,8,2
4,8,3
4,8,7
1,8,9
1,9,3
4,9,1
2,9,6
4,9,1
3,10,3
4,10,9
1,10,4
2,10,1
3,11,2
4,11,2
2,11,6
2,11,3
1,12,6
4,12,9
2,12,6
5,12,2
2,13,1
5,13,4
5,13,8
2,13,2
1,14,4
3,14,8
4,14,3
1,14,4
2,15,1
5,15,3
5,15,5
1,15,2
3,16,5
2,16,6
1,16,6
2,16,1
4,17,5
1,17,9
1,17,4
5,17,2
5,18,4
2,18,4
4,18,7
3,18,6
2,19,2
1,19,2
2,19,9
5,19,8
