dest,inb train,nb rc
1,0,6
1,0,7
1,0,2
1,0,6
1,1,3
1,1,5
1,1,7
1,1,3
1,2,5
1,2,5
1,2,2
1,2,3
1,3,2
1,3,3
1,3,2
1,3,5
1,4,5
1,4,4
1,4,3
1,4,4
1,5,2
1,5,2
1,5,4
1,5,2
1,6,1
1,6,5
1,6,2
1,6,5
1,7,2
1,7,6
1,7,2
1,7,1
1,8,2
1,8,3
1,8,1
1,8,1
1,9,7
1,9,4
1,9,2
1,9,4
1,10,4
1,10,6
1,10,2
1,10,4
1,11,6
1,11,3
1,11,4
1,11,2
1,12,1
1,12,7
1,12,7
1,12,2
1,13,5
1,13,7
1,13,2
1,13,7
1,14,7
1,14,5
1,14,3
1,14,4
1,15,1
1,15,5
1,15,5
1,15,3
1,16,3
1,16,5
1,16,3
1,16,4
1,17,1
1,17,1
1,17,3
1,17,4
1,18,2
1,18,2
1,18,6
1,18,5
1,19,5
1,19,5
1,19,7
1,19,6
