dest,inb train,nb rc
5,0,4
4,0,3
3,0,5
5,0,1
5,1,3
2,1,2
1,1,2
4,1,1
4,2,4
3,2,6
3,2,5
4,2,1
1,3,1
5,3,7
1,3,5
2,3,1
1,4,3
2,4,4
1,4,5
2,4,5
1,5,6
2,5,4
5,5,6
4,5,4
3,6,6
3,6,3
4,6,5
4,6,2
2,7,4
3,7,7
4,7,5
2,7,2
3,8,6
1,8,7
2,8,4
5,8,5
5,9,6
2,9,1
2,9,4
1,9,5
3,10,7
4,10,2
5,10,5
2,10,6
1,11,4
1,11,4
2,11,6
4,11,2
3,12,1
2,12,1
3,12,3
4,12,7
3,13,7
5,13,6
2,13,4
2,13,2
2,14,2
5,14,7
5,14,7
3,14,3
5,15,6
3,15,2
2,15,1
1,15,3
1,16,6
5,16,1
5,16,7
1,16,7
1,17,4
2,17,2
4,17,4
1,17,1
4,18,3
5,18,1
4,18,7
4,18,4
4,19,2
5,19,3
4,19,1
3,19,6
