dest,inb train,nb rc
1,0,4
1,0,1
1,0,4
1,0,3
2,1,5
1,1,4
2,1,8
2,1,5
1,2,9
1,2,1
1,2,5
1,2,6
1,3,3
2,3,4
1,3,1
2,3,1
2,4,3
2,4,3
2,4,4
2,4,6
2,5,8
2,5,3
2,5,5
2,5,5
1,6,9
2,6,5
1,6,8
1,6,4
1,7,9
2,7,7
2,7,5
1,7,3
2,8,2
1,8,2
1,8,8
2,8,1
1,9,9
2,9,2
2,9,8
1,9,3
1,10,9
1,10,1
1,10,7
2,10,7
1,11,9
2,11,3
2,11,9
2,11,3
1,12,9
2,12,6
1,12,3
2,12,1
1,13,2
2,13,7
2,13,7
1,13,9
2,14,3
2,14,5
1,14,8
2,14,2
1,15,9
1,15,3
2,15,6
2,15,4
1,16,1
1,16,9
2,16,3
2,16,1
1,17,8
2,17,9
2,17,1
1,17,9
1,18,4
1,18,3
2,18,8
2,18,5
1,19,8
1,19,2
2,19,3
2,19,8
