dest,inb train,nb rc
5,0,4
3,0,5
2,0,2
2,0,1
4,1,1
1,1,2
1,1,2
1,1,1
2,2,2
4,2,2
1,2,1
1,2,1
5,3,5
3,3,1
3,3,3
1,3,2
5,4,5
4,4,3
2,4,1
2,4,4
2,5,3
1,5,3
3,5,5
1,5,2
1,6,5
3,6,1
3,6,5
5,6,5
2,7,3
1,7,4
3,7,1
2,7,1
3,8,5
5,8,1
1,8,2
1,8,1
3,9,3
4,9,3
1,9,2
1,9,2
1,10,1
3,10,2
2,10,1
3,10,3
3,11,1
5,11,1
2,11,2
5,11,5
2,12,1
3,12,3
2,12,1
2,12,5
3,13,2
1,13,1
2,13,3
4,13,1
3,14,2
5,14,5
1,14,4
4,14,3
5,15,4
3,15,3
4,15,2
5,15,5
5,16,3
5,16,2
2,16,2
3,16,4
2,17,2
2,17,1
5,17,1
1,17,3
3,18,4
2,18,1
5,18,3
2,18,5
4,19,1
2,19,5
4,19,1
4,19,2
