dest,inb train,nb rc
4,0,7
5,0,2
2,0,2
5,0,2
5,1,4
2,1,6
3,1,7
4,1,6
5,2,7
1,2,3
4,2,1
4,2,7
4,3,1
5,3,5
2,3,2
3,3,3
5,4,1
3,4,2
5,4,7
1,4,1
3,5,5
4,5,5
2,5,4
4,5,2
3,6,2
4,6,6
4,6,1
2,6,7
2,7,7
4,7,5
5,7,2
4,7,1
5,8,5
3,8,1
5,8,5
2,8,6
4,9,2
1,9,3
3,9,4
5,9,3
2,10,4
4,10,4
3,10,6
1,10,2
1,11,6
3,11,5
2,11,5
2,11,6
2,12,3
2,12,1
5,12,3
1,12,1
5,13,2
3,13,7
4,13,2
3,13,4
5,14,7
3,14,4
2,14,2
1,14,1
2,15,4
5,15,1
1,15,1
1,15,3
1,16,7
3,16,6
4,16,3
5,16,6
2,17,4
3,17,2
4,17,6
5,17,6
4,18,4
5,18,7
1,18,4
3,18,3
5,19,6
2,19,5
3,19,1
1,19,7
