dest,inb train,nb rc
1,0,1
5,0,7
1,0,8
5,0,8
2,1,7
1,1,3
3,1,1
2,1,2
1,2,5
3,2,2
3,2,6
3,2,3
1,3,8
5,3,3
1,3,6
2,3,2
4,4,8
4,4,6
3,4,5
3,4,4
5,5,4
5,5,4
5,5,6
5,5,7
2,6,7
5,6,9
3,6,2
2,6,8
1,7,2
3,7,5
1,7,8
5,7,5
3,8,9
3,8,1
3,8,4
1,8,9
4,9,4
2,9,5
2,9,5
1,9,6
5,10,4
1,10,5
1,10,2
4,10,9
4,11,9
3,11,3
5,11,8
3,11,9
1,12,4
3,12,5
4,12,4
5,12,4
5,13,6
4,13,4
3,13,4
3,13,1
5,14,8
4,14,7
3,14,9
4,14,2
4,15,9
3,15,8
5,15,1
2,15,5
4,16,2
3,16,2
2,16,6
3,16,8
1,17,4
5,17,3
1,17,8
3,17,7
4,18,1
3,18,6
5,18,2
2,18,2
4,19,5
2,19,9
3,19,6
5,19,9
