dest,inb train,nb rc
1,0,1
2,0,2
2,0,5
2,0,3
2,1,3
1,1,5
1,1,3
1,1,1
1,2,1
2,2,2
2,2,4
1,2,5
1,3,1
1,3,1
2,3,2
2,3,2
2,4,3
2,4,3
1,4,1
1,4,4
1,5,4
2,5,4
2,5,1
1,5,1
1,6,3
2,6,4
2,6,3
2,6,3
1,7,3
1,7,3
1,7,3
2,7,5
1,8,4
1,8,3
2,8,1
2,8,3
1,9,3
1,9,5
2,9,4
2,9,3
1,10,3
1,10,5
2,10,4
1,10,5
2,11,2
2,11,2
2,11,1
1,11,2
1,12,1
2,12,3
1,12,3
1,12,1
2,13,5
1,13,5
1,13,1
1,13,1
1,14,2
1,14,5
1,14,4
1,14,5
1,15,1
2,15,4
1,15,3
1,15,3
1,16,3
1,16,1
1,16,2
1,16,3
2,17,4
2,17,3
1,17,2
2,17,4
1,18,2
2,18,3
2,18,5
1,18,5
1,19,3
1,19,5
2,19,5
1,19,2
