dest,inb train,nb rc
1,0,7
3,0,7
5,0,6
5,0,2
3,1,2
3,1,2
3,1,2
1,1,5
5,2,7
3,2,3
4,2,3
4,2,4
4,3,7
5,3,6
4,3,2
4,3,3
4,4,5
1,4,2
2,4,7
5,4,2
2,5,4
1,5,4
5,5,5
4,5,7
3,6,2
5,6,3
5,6,1
5,6,3
5,7,1
2,7,2
3,7,5
4,7,7
1,8,5
5,8,1
3,8,1
2,8,7
2,9,7
1,9,5
5,9,6
5,9,2
1,10,5
3,10,2
4,10,6
1,10,3
1,11,1
2,11,3
2,11,2
5,11,6
5,12,4
4,12,7
1,12,1
2,12,7
1,13,4
2,13,5
1,13,1
5,13,1
3,14,6
2,14,6
1,14,5
3,14,2
1,15,7
1,15,2
4,15,1
5,15,1
1,16,6
2,16,7
3,16,6
5,16,3
4,17,3
1,17,7
4,17,3
1,17,1
2,18,1
1,18,5
5,18,4
5,18,2
3,19,2
3,19,5
3,19,6
3,19,3
