dest,inb train,nb rc
2,0,2
1,0,2
2,0,5
1,0,5
2,1,3
1,1,5
2,1,3
1,1,5
2,2,4
2,2,2
2,2,3
2,2,1
2,3,3
1,3,3
1,3,5
2,3,1
2,4,1
2,4,2
1,4,2
2,4,4
2,5,2
2,5,1
2,5,5
1,5,3
2,6,3
2,6,5
2,6,2
2,6,4
2,7,2
2,7,2
2,7,1
1,7,3
2,8,5
2,8,5
1,8,3
2,8,3
1,9,2
1,9,5
2,9,4
2,9,1
2,10,1
2,10,5
1,10,4
2,10,1
2,11,4
2,11,2
1,11,4
1,11,4
2,12,1
1,12,2
2,12,2
2,12,4
1,13,2
1,13,4
1,13,4
2,13,2
1,14,4
2,14,5
2,14,3
1,14,3
1,15,1
2,15,1
2,15,5
1,15,4
1,16,1
2,16,3
1,16,1
1,16,4
2,17,3
1,17,4
2,17,5
2,17,5
2,18,2
2,18,2
2,18,5
1,18,5
1,19,2
1,19,3
1,19,3
1,19,4
