dest,inb train,nb rc
1,0,8
1,0,3
1,0,3
1,0,6
1,1,7
1,1,2
1,1,7
1,1,8
1,2,5
1,2,7
1,2,1
1,2,4
1,3,8
1,3,2
1,3,3
1,3,7
1,4,1
1,4,9
1,4,5
1,4,8
1,5,7
1,5,2
1,5,6
1,5,1
1,6,2
1,6,4
1,6,6
1,6,1
1,7,2
1,7,7
1,7,1
1,7,1
1,8,8
1,8,1
1,8,4
1,8,8
1,9,3
1,9,6
1,9,5
1,9,9
1,10,9
1,10,7
1,10,5
1,10,3
1,11,2
1,11,8
1,11,7
1,11,3
1,12,9
1,12,5
1,12,2
1,12,2
1,13,2
1,13,7
1,13,2
1,13,8
1,14,5
1,14,7
1,14,9
1,14,5
1,15,5
1,15,8
1,15,5
1,15,7
1,16,1
1,16,4
1,16,5
1,16,3
1,17,8
1,17,1
1,17,7
1,17,3
1,18,5
1,18,2
1,18,8
1,18,9
1,19,1
1,19,4
1,19,7
1,19,4
