dest,inb train,nb rc
1,0,4
2,0,4
1,0,4
1,0,3
1,1,5
2,1,4
2,1,4
2,1,2
1,2,7
2,2,5
2,2,5
1,2,1
1,3,6
2,3,2
2,3,4
1,3,5
1,4,6
2,4,4
2,4,4
1,4,6
1,5,1
2,5,2
2,5,3
1,5,5
1,6,2
1,6,2
1,6,2
2,6,7
1,7,5
2,7,4
2,7,4
2,7,2
2,8,2
1,8,7
1,8,5
1,8,4
2,9,2
2,9,3
2,9,7
2,9,3
1,10,1
2,10,5
1,10,4
2,10,4
1,11,7
1,11,4
2,11,7
1,11,1
1,12,6
1,12,3
2,12,4
1,12,5
2,13,7
2,13,5
1,13,7
2,13,5
2,14,4
2,14,7
2,14,6
1,14,4
1,15,7
1,15,1
2,15,7
2,15,1
1,16,7
2,16,3
2,16,2
2,16,1
1,17,7
2,17,7
1,17,3
1,17,6
1,18,7
2,18,6
1,18,4
2,18,6
1,19,3
2,19,4
1,19,1
1,19,4
