dest,inb train,nb rc
1,0,5
1,0,5
1,0,7
1,0,7
2,1,2
1,1,5
1,1,4
1,1,2
1,2,4
1,2,3
1,2,6
2,2,9
2,3,5
1,3,2
1,3,1
1,3,4
1,4,7
1,4,6
1,4,5
1,4,5
1,5,8
1,5,1
1,5,3
1,5,6
2,6,6
1,6,9
1,6,4
2,6,8
2,7,8
1,7,3
1,7,1
1,7,1
1,8,8
2,8,7
2,8,9
1,8,9
2,9,4
2,9,3
2,9,3
1,9,6
2,10,5
2,10,4
1,10,7
2,10,5
1,11,7
2,11,8
1,11,6
1,11,1
2,12,1
2,12,1
1,12,5
1,12,5
1,13,9
1,13,3
1,13,4
1,13,2
1,14,4
2,14,9
2,14,2
2,14,5
2,15,1
2,15,1
2,15,8
2,15,7
2,16,5
1,16,5
1,16,4
2,16,8
1,17,4
2,17,2
1,17,6
2,17,8
1,18,8
1,18,2
1,18,4
2,18,8
2,19,1
1,19,5
2,19,9
1,19,8
