dest,inb train,nb rc
5,0,7
5,0,5
1,0,1
2,0,2
1,1,7
1,1,1
4,1,1
1,1,4
1,2,5
2,2,6
3,2,1
4,2,5
5,3,3
1,3,5
2,3,2
5,3,3
1,4,4
1,4,6
2,4,4
1,4,2
1,5,4
5,5,4
2,5,1
3,5,3
2,6,6
2,6,5
4,6,5
1,6,4
5,7,5
1,7,2
1,7,3
1,7,4
3,8,4
4,8,5
4,8,3
5,8,5
4,9,4
3,9,1
1,9,2
2,9,2
2,10,5
5,10,7
1,10,4
5,10,7
4,11,7
1,11,7
3,11,3
3,11,5
2,12,1
1,12,1
2,12,6
2,12,4
5,13,5
3,13,1
3,13,4
4,13,6
5,14,4
5,14,4
3,14,6
1,14,2
4,15,7
2,15,1
5,15,2
4,15,2
5,16,3
1,16,7
1,16,2
1,16,7
2,17,7
1,17,7
4,17,6
3,17,3
3,18,2
2,18,5
3,18,2
2,18,5
2,19,2
1,19,1
5,19,5
4,19,7
