dest,inb train,nb rc
1,0,4
2,0,1
3,0,5
5,0,1
5,1,4
4,1,1
2,1,4
4,1,5
2,2,5
5,2,5
3,2,3
2,2,4
4,3,1
3,3,2
4,3,4
5,3,4
1,4,1
1,4,2
5,4,5
5,4,5
1,5,4
5,5,1
5,5,2
5,5,1
2,6,5
3,6,2
5,6,5
1,6,2
4,7,2
2,7,3
4,7,5
4,7,4
2,8,4
2,8,2
5,8,1
1,8,4
4,9,2
2,9,4
2,9,1
5,9,3
5,10,5
4,10,2
5,10,5
5,10,1
1,11,5
4,11,5
2,11,5
1,11,5
3,12,3
4,12,4
1,12,3
3,12,5
2,13,5
5,13,3
3,13,2
4,13,3
3,14,2
4,14,2
4,14,5
4,14,1
4,15,4
3,15,4
1,15,3
5,15,2
3,16,1
3,16,3
2,16,2
1,16,4
1,17,2
4,17,4
1,17,1
5,17,2
3,18,5
4,18,2
3,18,3
4,18,4
1,19,3
1,19,3
5,19,1
4,19,1
