dest,inb train,nb rc
3,0,1
2,0,6
2,0,4
5,0,2
3,1,6
5,1,6
3,1,1
3,1,5
3,2,5
5,2,2
1,2,1
2,2,3
4,3,5
5,3,1
3,3,6
3,3,4
4,4,1
2,4,6
3,4,5
1,4,7
1,5,2
2,5,4
3,5,2
3,5,5
5,6,3
1,6,4
1,6,2
1,6,5
3,7,2
2,7,2
4,7,2
2,7,3
5,8,5
2,8,5
4,8,7
1,8,4
2,9,4
4,9,5
5,9,5
3,9,2
1,10,1
1,10,2
2,10,6
3,10,1
3,11,7
3,11,3
2,11,3
3,11,5
3,12,1
4,12,1
2,12,2
3,12,1
1,13,6
2,13,2
2,13,5
4,13,2
5,14,5
3,14,2
2,14,5
1,14,4
4,15,5
4,15,1
4,15,2
3,15,1
2,16,3
3,16,1
1,16,6
1,16,3
2,17,4
5,17,5
2,17,6
5,17,3
2,18,6
5,18,3
5,18,3
5,18,7
3,19,6
2,19,2
2,19,4
5,19,4
