dest,inb train,nb rc
1,0,2
1,0,5
1,0,3
1,0,1
1,1,8
1,1,1
1,1,6
1,1,7
1,2,1
1,2,9
1,2,1
1,2,1
1,3,7
1,3,7
1,3,4
1,3,5
1,4,8
1,4,9
1,4,7
1,4,5
1,5,7
1,5,5
1,5,3
1,5,8
1,6,1
1,6,8
1,6,7
1,6,3
1,7,3
1,7,1
1,7,5
1,7,1
1,8,4
1,8,2
1,8,6
1,8,7
1,9,9
1,9,4
1,9,3
1,9,9
1,10,4
1,10,9
1,10,5
1,10,6
1,11,1
1,11,8
1,11,8
1,11,4
1,12,5
1,12,1
1,12,5
1,12,2
1,13,3
1,13,5
1,13,7
1,13,4
1,14,3
1,14,1
1,14,4
1,14,3
1,15,6
1,15,2
1,15,9
1,15,6
1,16,1
1,16,9
1,16,3
1,16,8
1,17,7
1,17,1
1,17,3
1,17,7
1,18,4
1,18,3
1,18,2
1,18,2
1,19,2
1,19,4
1,19,2
1,19,3
