dest,inb train,nb rc
1,0,4
2,0,5
1,0,5
2,0,1
2,1,1
1,1,2
1,1,2
2,1,1
2,2,3
1,2,4
1,2,1
1,2,1
2,3,4
2,3,4
2,3,5
1,3,5
1,4,2
1,4,2
1,4,2
2,4,3
2,5,2
2,5,1
2,5,2
1,5,3
2,6,3
1,6,2
1,6,4
2,6,4
1,7,2
1,7,3
2,7,3
2,7,1
1,8,3
1,8,3
1,8,1
2,8,3
2,9,4
1,9,1
1,9,1
2,9,4
1,10,5
1,10,2
2,10,3
2,10,5
2,11,1
1,11,2
1,11,3
2,11,5
1,12,5
1,12,2
1,12,2
2,12,2
2,13,5
1,13,5
2,13,1
2,13,5
2,14,1
1,14,2
1,14,1
1,14,2
1,15,1
1,15,4
1,15,1
2,15,1
2,16,4
1,16,1
1,16,5
2,16,4
2,17,2
2,17,3
2,17,3
1,17,2
1,18,1
2,18,2
2,18,3
2,18,3
2,19,5
1,19,1
2,19,5
1,19,2
