dest,inb train,nb rc
1,0,7
1,0,4
1,0,6
1,0,2
1,1,7
1,1,7
1,1,7
1,1,5
1,2,1
1,2,4
1,2,3
1,2,4
1,3,3
1,3,5
1,3,6
1,3,5
1,4,1
1,4,4
1,4,1
1,4,1
1,5,7
1,5,4
1,5,5
1,5,7
1,6,3
1,6,4
1,6,7
1,6,1
1,7,2
1,7,4
1,7,5
1,7,7
1,8,2
1,8,3
1,8,1
1,8,5
1,9,6
1,9,6
1,9,1
1,9,3
1,10,2
1,10,3
1,10,6
1,10,2
1,11,2
1,11,5
1,11,1
1,11,3
1,12,7
1,12,2
1,12,2
1,12,3
1,13,4
1,13,1
1,13,2
1,13,6
1,14,7
1,14,3
1,14,7
1,14,1
1,15,2
1,15,7
1,15,3
1,15,3
1,16,2
1,16,6
1,16,6
1,16,2
1,17,1
1,17,2
1,17,1
1,17,1
1,18,5
1,18,1
1,18,7
1,18,3
1,19,3
1,19,2
1,19,4
1,19,6
