dest,inb train,nb rc
1,0,7
1,0,7
1,0,5
2,0,2
2,1,3
2,1,3
1,1,6
2,1,6
2,2,6
2,2,1
2,2,7
1,2,1
2,3,2
1,3,3
2,3,4
2,3,2
1,4,1
2,4,2
2,4,2
1,4,5
1,5,5
2,5,6
1,5,1
2,5,5
1,6,2
1,6,7
2,6,4
2,6,2
2,7,6
2,7,4
2,7,2
2,7,6
2,8,7
2,8,2
2,8,5
1,8,2
2,9,6
1,9,4
2,9,5
2,9,6
2,10,5
2,10,5
2,10,5
2,10,7
1,11,5
1,11,1
1,11,6
1,11,3
1,12,7
1,12,5
2,12,6
2,12,5
2,13,6
2,13,6
1,13,3
2,13,7
1,14,6
1,14,7
2,14,6
2,14,1
2,15,5
2,15,2
2,15,6
1,15,5
2,16,2
2,16,4
2,16,4
2,16,5
1,17,1
1,17,2
2,17,3
1,17,1
1,18,7
2,18,5
2,18,1
2,18,3
1,19,4
2,19,4
2,19,6
2,19,5
