dest,inb train,nb rc
1,0,6
2,0,1
1,0,9
2,0,2
1,1,9
1,1,3
2,1,9
1,1,4
2,2,5
1,2,1
1,2,8
2,2,7
2,3,6
2,3,8
1,3,6
2,3,5
2,4,9
2,4,2
2,4,7
2,4,3
1,5,7
1,5,7
2,5,9
1,5,5
1,6,8
2,6,8
1,6,4
1,6,4
2,7,3
1,7,1
1,7,9
1,7,1
1,8,1
1,8,6
1,8,4
2,8,2
2,9,8
1,9,2
1,9,3
1,9,5
1,10,9
2,10,9
1,10,5
1,10,9
1,11,4
2,11,7
2,11,4
1,11,4
2,12,1
2,12,1
1,12,6
1,12,7
1,13,7
1,13,5
1,13,3
1,13,5
1,14,1
1,14,7
1,14,9
2,14,9
1,15,1
1,15,4
1,15,8
2,15,2
2,16,9
1,16,8
2,16,7
1,16,1
1,17,1
2,17,6
2,17,8
1,17,4
1,18,2
2,18,8
1,18,8
1,18,6
1,19,7
1,19,1
2,19,8
1,19,7
