dest,inb train,nb rc
4,0,6
1,0,2
3,0,9
3,0,9
3,1,4
3,1,7
4,1,8
1,1,5
5,2,6
3,2,6
3,2,4
1,2,6
2,3,2
3,3,2
2,3,2
5,3,3
1,4,1
3,4,8
5,4,6
1,4,9
3,5,8
4,5,8
4,5,9
1,5,6
5,6,1
2,6,4
4,6,6
1,6,2
5,7,4
5,7,8
2,7,3
2,7,3
2,8,2
5,8,5
4,8,1
4,8,1
2,9,8
1,9,1
5,9,8
2,9,4
4,10,6
3,10,6
5,10,2
3,10,2
5,11,6
5,11,2
3,11,8
4,11,8
4,12,5
5,12,3
5,12,8
1,12,2
5,13,9
1,13,7
5,13,9
3,13,7
5,14,5
4,14,7
4,14,7
5,14,8
3,15,7
1,15,3
5,15,3
3,15,8
5,16,8
2,16,7
5,16,3
3,16,6
4,17,7
3,17,1
5,17,3
1,17,7
5,18,9
5,18,8
3,18,3
3,18,4
2,19,2
3,19,1
2,19,1
4,19,7
