dest,inb train,nb rc
1,0,2
2,0,1
1,0,3
1,0,2
1,1,4
2,1,7
1,1,1
1,1,3
2,2,2
2,2,1
1,2,1
1,2,6
2,3,7
2,3,5
2,3,2
1,3,7
1,4,1
2,4,4
2,4,3
2,4,5
2,5,2
2,5,5
1,5,7
1,5,3
2,6,1
1,6,4
2,6,3
2,6,5
2,7,5
2,7,6
1,7,2
2,7,2
2,8,1
1,8,6
1,8,2
1,8,3
2,9,7
1,9,2
2,9,6
1,9,3
1,10,5
1,10,4
1,10,7
1,10,1
1,11,4
1,11,2
1,11,5
2,11,4
1,12,5
2,12,6
2,12,3
1,12,7
1,13,7
2,13,1
2,13,3
1,13,5
2,14,3
1,14,7
1,14,4
2,14,1
2,15,7
1,15,4
2,15,2
2,15,2
2,16,6
1,16,1
1,16,4
2,16,4
2,17,7
2,17,5
2,17,6
1,17,5
2,18,4
2,18,4
2,18,6
1,18,3
2,19,7
2,19,3
2,19,7
2,19,7
