dest,inb train,nb rc
2,0,2
1,0,2
2,0,7
2,0,6
2,1,2
2,1,1
1,1,4
2,1,1
2,2,4
1,2,5
2,2,1
1,2,1
1,3,3
1,3,5
2,3,4
2,3,1
2,4,3
1,4,8
2,4,7
1,4,6
2,5,1
1,5,2
1,5,5
2,5,9
1,6,3
2,6,2
2,6,9
2,6,2
2,7,6
2,7,8
2,7,3
2,7,3
2,8,9
1,8,9
1,8,5
2,8,5
2,9,8
2,9,3
2,9,2
1,9,7
2,10,9
2,10,8
2,10,2
2,10,8
1,11,3
1,11,2
1,11,7
2,11,2
1,12,8
2,12,5
2,12,9
2,12,2
2,13,3
1,13,5
1,13,6
1,13,7
2,14,8
1,14,6
2,14,2
1,14,4
2,15,9
2,15,8
2,15,2
2,15,6
1,16,1
1,16,8
1,16,7
1,16,8
1,17,5
1,17,4
1,17,1
1,17,2
1,18,6
1,18,3
1,18,6
1,18,1
1,19,5
2,19,5
2,19,4
2,19,6
