dest,inb train,nb rc
2,0,1
1,0,7
2,0,2
1,0,4
1,1,1
2,1,2
1,1,2
1,1,6
1,2,1
1,2,1
2,2,4
1,2,6
2,3,2
1,3,2
2,3,4
1,3,6
1,4,4
1,4,7
2,4,5
1,4,7
1,5,2
1,5,2
1,5,3
1,5,2
2,6,4
2,6,2
2,6,6
2,6,1
1,7,3
1,7,3
1,7,6
2,7,7
1,8,6
2,8,7
2,8,4
2,8,1
1,9,3
1,9,3
1,9,7
1,9,2
2,10,6
1,10,2
2,10,7
1,10,4
1,11,6
2,11,2
2,11,6
1,11,2
2,12,1
1,12,6
1,12,1
1,12,7
2,13,7
1,13,5
1,13,2
1,13,5
1,14,5
2,14,2
2,14,4
1,14,4
1,15,1
1,15,4
2,15,5
2,15,4
2,16,4
2,16,1
1,16,3
1,16,3
1,17,2
2,17,3
2,17,7
2,17,2
2,18,3
1,18,7
1,18,4
1,18,3
1,19,5
2,19,1
1,19,5
1,19,5
