dest,inb train,nb rc
2,0,3
2,0,8
2,0,3
1,0,3
2,1,8
2,1,6
2,1,7
2,1,6
1,2,6
1,2,9
1,2,8
2,2,3
1,3,3
1,3,7
2,3,8
1,3,8
1,4,4
1,4,8
1,4,6
2,4,1
2,5,3
2,5,2
2,5,7
1,5,9
2,6,7
2,6,3
1,6,4
1,6,9
2,7,5
1,7,1
1,7,1
1,7,6
2,8,2
1,8,8
2,8,6
1,8,5
2,9,3
1,9,6
2,9,3
2,9,5
2,10,4
2,10,9
1,10,8
1,10,4
2,11,3
2,11,9
1,11,2
1,11,7
2,12,9
2,12,3
2,12,1
2,12,9
2,13,4
2,13,9
1,13,6
2,13,8
1,14,8
1,14,8
1,14,6
2,14,5
2,15,8
2,15,9
2,15,7
2,15,9
2,16,4
2,16,4
1,16,5
2,16,1
1,17,8
2,17,1
2,17,3
2,17,9
2,18,9
2,18,6
1,18,2
2,18,6
1,19,9
1,19,9
1,19,7
1,19,7
