dest,inb train,nb rc
2,0,3
4,0,1
5,0,2
3,0,5
2,1,2
1,1,3
5,1,5
5,1,4
3,2,1
3,2,1
4,2,3
5,2,3
1,3,4
4,3,5
5,3,2
5,3,1
5,4,5
3,4,3
5,4,4
5,4,5
3,5,4
5,5,3
3,5,4
5,5,1
2,6,2
1,6,5
3,6,5
1,6,5
5,7,3
2,7,1
2,7,2
2,7,4
4,8,4
1,8,3
5,8,2
1,8,3
3,9,1
4,9,2
1,9,5
2,9,5
3,10,2
2,10,3
2,10,2
2,10,1
4,11,5
4,11,2
2,11,1
2,11,3
4,12,2
1,12,4
3,12,3
4,12,2
2,13,2
5,13,4
4,13,2
3,13,2
2,14,5
3,14,4
1,14,4
1,14,1
5,15,4
1,15,3
4,15,2
5,15,1
2,16,3
2,16,1
2,16,3
3,16,5
3,17,4
5,17,2
4,17,3
3,17,4
3,18,5
1,18,3
2,18,4
4,18,5
5,19,1
4,19,2
3,19,5
4,19,4
