dest,inb train,nb rc
4,0,5
2,0,1
3,0,2
5,0,1
2,1,3
3,1,3
3,1,2
1,1,5
5,2,4
1,2,3
5,2,2
1,2,2
1,3,5
4,3,3
5,3,5
1,3,3
1,4,3
4,4,5
1,4,5
2,4,5
2,5,1
2,5,4
4,5,4
3,5,4
3,6,2
2,6,5
5,6,1
1,6,3
1,7,4
1,7,4
4,7,4
5,7,1
5,8,4
3,8,4
4,8,1
5,8,5
2,9,3
3,9,1
3,9,2
5,9,3
1,10,2
1,10,5
3,10,5
3,10,5
5,11,1
3,11,2
4,11,2
4,11,4
3,12,5
5,12,3
5,12,2
5,12,2
4,13,4
2,13,4
5,13,4
3,13,2
4,14,1
2,14,4
2,14,3
3,14,1
1,15,2
5,15,5
2,15,5
1,15,4
4,16,5
3,16,2
2,16,2
2,16,3
2,17,4
4,17,3
5,17,2
2,17,2
3,18,5
3,18,1
1,18,4
3,18,2
1,19,2
2,19,2
1,19,2
3,19,3
