dest,inb train,nb rc
1,0,6
1,0,3
1,0,8
1,0,4
1,1,4
1,1,4
1,1,6
1,1,9
1,2,5
1,2,5
1,2,5
1,2,8
1,3,9
1,3,8
1,3,6
1,3,2
1,4,5
1,4,5
1,4,5
1,4,8
1,5,9
1,5,6
1,5,9
1,5,2
1,6,5
1,6,8
1,6,4
1,6,8
1,7,8
1,7,9
1,7,6
1,7,1
1,8,4
1,8,1
1,8,2
1,8,7
1,9,7
1,9,6
1,9,4
1,9,7
1,10,8
1,10,1
1,10,9
1,10,7
1,11,1
1,11,9
1,11,4
1,11,4
1,12,8
1,12,3
1,12,5
1,12,1
1,13,4
1,13,3
1,13,7
1,13,5
1,14,3
1,14,1
1,14,7
1,14,2
1,15,3
1,15,7
1,15,9
1,15,3
1,16,4
1,16,5
1,16,9
1,16,3
1,17,8
1,17,5
1,17,3
1,17,1
1,18,3
1,18,2
1,18,9
1,18,8
1,19,3
1,19,7
1,19,3
1,19,1
