dest,inb train,nb rc
1,0,5
2,0,4
1,0,6
1,0,4
2,1,5
1,1,2
1,1,5
1,1,4
1,2,1
1,2,5
1,2,5
1,2,5
1,3,1
1,3,2
2,3,3
1,3,5
1,4,1
1,4,6
2,4,5
1,4,7
1,5,7
2,5,5
2,5,4
2,5,2
1,6,1
2,6,3
2,6,6
1,6,5
2,7,6
2,7,7
2,7,3
1,7,3
2,8,7
2,8,6
2,8,7
2,8,1
1,9,1
2,9,6
1,9,6
2,9,5
2,10,4
2,10,1
1,10,2
2,10,7
1,11,5
1,11,3
1,11,6
1,11,3
1,12,5
2,12,5
1,12,1
1,12,2
2,13,3
1,13,6
1,13,3
1,13,3
1,14,1
2,14,3
2,14,5
2,14,5
1,15,7
2,15,6
2,15,1
2,15,7
1,16,4
2,16,4
2,16,7
2,16,2
2,17,5
2,17,1
1,17,4
2,17,1
1,18,7
2,18,2
2,18,5
2,18,5
2,19,2
1,19,2
2,19,3
2,19,2
