dest,inb train,nb rc
5,0,3
4,0,2
3,0,1
3,0,7
3,1,5
2,1,4
4,1,5
3,1,1
2,2,2
2,2,2
5,2,6
3,2,1
2,3,2
5,3,1
1,3,7
1,3,2
5,4,5
5,4,5
3,4,7
1,4,7
4,5,7
5,5,4
3,5,5
4,5,5
1,6,5
5,6,2
1,6,2
4,6,3
1,7,3
4,7,3
1,7,6
2,7,1
1,8,4
2,8,6
4,8,1
1,8,6
5,9,4
3,9,4
1,9,1
4,9,5
3,10,4
4,10,1
5,10,4
5,10,6
4,11,1
5,11,4
2,11,6
2,11,3
3,12,2
2,12,6
2,12,1
2,12,1
3,13,6
2,13,1
5,13,2
4,13,3
1,14,5
2,14,7
4,14,2
2,14,7
5,15,5
5,15,5
3,15,3
2,15,4
4,16,4
3,16,1
3,16,2
4,16,1
5,17,7
1,17,1
5,17,2
1,17,1
2,18,1
3,18,3
4,18,5
3,18,1
2,19,3
1,19,7
1,19,2
5,19,5
