dest,inb train,nb rc
1,0,4
1,0,2
1,0,2
1,0,2
1,1,4
2,1,2
2,1,3
2,1,5
2,2,2
2,2,3
1,2,5
2,2,1
2,3,3
2,3,3
1,3,6
1,3,3
2,4,6
2,4,6
1,4,5
2,4,1
2,5,4
2,5,1
2,5,7
1,5,2
1,6,6
1,6,7
2,6,7
2,6,5
1,7,6
2,7,4
1,7,5
2,7,1
2,8,1
1,8,6
1,8,2
2,8,5
2,9,3
2,9,4
2,9,6
1,9,3
2,10,4
2,10,5
2,10,6
1,10,4
2,11,6
2,11,4
1,11,5
2,11,2
1,12,2
1,12,2
1,12,5
1,12,5
2,13,2
1,13,1
1,13,5
1,13,4
1,14,4
1,14,4
2,14,6
1,14,5
2,15,1
2,15,5
2,15,7
2,15,3
2,16,6
2,16,3
2,16,1
1,16,7
1,17,3
2,17,6
1,17,5
2,17,7
2,18,1
1,18,3
2,18,3
2,18,6
1,19,5
2,19,4
1,19,1
1,19,6
