dest,inb train,nb rc
1,0,1
1,0,3
1,0,3
2,0,2
1,1,1
1,1,2
1,1,5
1,1,3
2,2,2
2,2,4
2,2,5
2,2,6
1,3,5
2,3,3
2,3,2
2,3,4
1,4,5
1,4,6
2,4,5
1,4,2
1,5,1
2,5,4
2,5,1
1,5,3
1,6,2
1,6,7
2,6,6
2,6,1
1,7,3
2,7,7
1,7,2
1,7,5
2,8,5
1,8,6
2,8,4
1,8,2
2,9,7
2,9,7
2,9,5
2,9,1
1,10,2
2,10,5
1,10,6
1,10,5
1,11,7
2,11,4
1,11,4
2,11,2
2,12,5
1,12,7
2,12,7
2,12,6
2,13,3
1,13,2
1,13,4
2,13,3
1,14,2
2,14,6
1,14,1
1,14,1
1,15,6
1,15,1
1,15,5
1,15,3
1,16,5
1,16,5
1,16,4
1,16,1
1,17,6
2,17,7
1,17,7
1,17,1
1,18,3
1,18,1
1,18,6
1,18,2
1,19,5
2,19,5
2,19,1
1,19,7
