dest,inb train,nb rc
5,0,4
2,0,3
4,0,1
1,0,3
4,1,7
2,1,7
3,1,5
1,1,6
5,2,6
5,2,3
4,2,1
1,2,5
2,3,3
2,3,5
3,3,7
4,3,2
5,4,2
1,4,2
4,4,3
4,4,2
1,5,1
3,5,5
4,5,3
3,5,6
3,6,2
4,6,3
4,6,7
1,6,1
2,7,2
3,7,3
4,7,5
3,7,5
1,8,7
3,8,5
1,8,2
4,8,6
3,9,4
5,9,6
2,9,3
2,9,6
4,10,6
4,10,7
1,10,7
3,10,3
3,11,3
1,11,4
3,11,5
1,11,5
1,12,7
5,12,4
2,12,5
4,12,6
5,13,3
3,13,2
4,13,3
4,13,3
3,14,2
2,14,1
2,14,1
1,14,2
2,15,2
5,15,1
5,15,4
3,15,7
5,16,3
3,16,3
4,16,1
5,16,3
3,17,2
4,17,2
1,17,2
5,17,2
2,18,3
3,18,7
1,18,1
3,18,4
4,19,7
3,19,4
4,19,5
5,19,6
