dest,inb train,nb rc
1,0,7
1,0,2
1,0,7
1,0,4
1,1,4
2,1,6
1,1,5
1,1,3
2,2,4
2,2,4
1,2,2
1,2,1
1,3,3
2,3,1
2,3,2
1,3,4
1,4,1
1,4,3
1,4,6
1,4,1
2,5,7
1,5,5
1,5,7
2,5,4
1,6,4
1,6,1
1,6,7
2,6,2
1,7,1
2,7,6
2,7,6
2,7,2
1,8,7
1,8,2
1,8,4
1,8,5
2,9,1
2,9,5
2,9,6
1,9,5
2,10,7
1,10,2
1,10,7
1,10,2
1,11,1
2,11,4
2,11,3
2,11,3
1,12,3
2,12,3
1,12,1
2,12,4
1,13,3
1,13,5
1,13,3
1,13,4
1,14,6
2,14,3
2,14,3
1,14,6
2,15,7
2,15,5
1,15,1
2,15,6
2,16,2
1,16,3
2,16,7
1,16,3
1,17,6
2,17,4
1,17,6
2,17,1
1,18,4
2,18,7
1,18,6
1,18,7
2,19,3
2,19,2
1,19,7
2,19,7
