dest,inb train,nb rc
2,0,4
1,0,4
1,0,5
2,0,5
2,1,4
1,1,7
1,1,3
1,1,6
2,2,6
1,2,6
2,2,7
1,2,6
2,3,5
2,3,3
2,3,2
1,3,1
2,4,3
2,4,4
1,4,1
2,4,7
1,5,5
1,5,6
2,5,1
2,5,5
2,6,1
1,6,1
2,6,6
2,6,6
2,7,1
2,7,4
1,7,3
1,7,2
2,8,7
2,8,1
1,8,4
1,8,1
1,9,2
1,9,1
1,9,3
1,9,7
2,10,6
2,10,7
1,10,3
2,10,6
2,11,2
1,11,1
1,11,4
1,11,7
1,12,5
2,12,5
2,12,3
2,12,7
2,13,2
2,13,4
1,13,4
2,13,2
2,14,4
1,14,4
2,14,6
2,14,6
1,15,2
1,15,3
2,15,4
1,15,6
1,16,7
2,16,1
2,16,3
1,16,4
2,17,1
1,17,5
2,17,3
1,17,3
2,18,3
1,18,1
2,18,1
1,18,6
2,19,7
2,19,7
2,19,4
1,19,2
