dest,inb train,nb rc
2,0,2
1,0,4
2,0,5
5,0,3
1,1,6
5,1,6
4,1,1
1,1,2
1,2,1
4,2,7
4,2,5
3,2,2
5,3,4
4,3,1
2,3,6
4,3,2
1,4,6
2,4,3
5,4,1
2,4,4
2,5,2
2,5,6
1,5,2
3,5,2
3,6,2
1,6,6
3,6,7
4,6,6
4,7,7
5,7,4
4,7,2
2,7,1
5,8,5
5,8,6
5,8,3
3,8,3
1,9,6
1,9,2
3,9,4
3,9,7
3,10,5
3,10,5
1,10,5
3,10,7
5,11,3
2,11,4
1,11,4
3,11,5
5,12,4
4,12,2
3,12,2
1,12,2
5,13,1
2,13,6
4,13,7
4,13,5
1,14,3
1,14,7
5,14,7
3,14,1
1,15,6
2,15,6
4,15,5
1,15,1
2,16,1
1,16,4
4,16,5
3,16,6
4,17,1
1,17,4
5,17,4
3,17,2
1,18,3
5,18,4
1,18,5
5,18,7
4,19,6
5,19,7
1,19,5
3,19,4
