dest,inb train,nb rc
2,0,5
2,0,4
2,0,1
2,0,2
1,1,3
2,1,4
2,1,3
2,1,7
2,2,6
2,2,5
1,2,1
2,2,1
1,3,4
1,3,7
2,3,7
1,3,2
2,4,3
1,4,2
2,4,2
2,4,2
2,5,7
1,5,6
2,5,7
2,5,1
2,6,4
2,6,6
2,6,7
2,6,3
2,7,1
1,7,4
1,7,1
1,7,1
1,8,4
1,8,7
2,8,7
2,8,3
2,9,5
1,9,1
2,9,3
2,9,6
1,10,2
1,10,2
2,10,1
2,10,2
2,11,1
1,11,4
1,11,3
1,11,2
2,12,1
1,12,7
1,12,3
2,12,2
2,13,2
2,13,3
2,13,3
2,13,3
2,14,5
1,14,3
2,14,2
1,14,2
1,15,4
1,15,1
2,15,2
2,15,4
2,16,1
2,16,2
1,16,6
1,16,6
2,17,2
2,17,7
1,17,6
1,17,1
1,18,6
1,18,1
1,18,3
2,18,1
1,19,2
1,19,1
2,19,7
2,19,6
