dest,inb train,nb rc
4,0,1
1,0,7
3,0,6
2,0,7
4,1,7
2,1,1
1,1,2
4,1,7
3,2,5
2,2,4
5,2,1
1,2,6
1,3,7
3,3,6
1,3,1
3,3,7
1,4,1
4,4,3
4,4,6
3,4,1
2,5,5
1,5,5
3,5,1
4,5,7
1,6,4
1,6,4
4,6,4
2,6,6
2,7,2
3,7,3
3,7,6
1,7,3
2,8,6
1,8,7
4,8,7
2,8,2
5,9,7
3,9,6
2,9,3
3,9,2
3,10,1
5,10,6
4,10,7
5,10,7
1,11,2
5,11,5
3,11,4
4,11,1
4,12,1
1,12,4
3,12,6
4,12,6
2,13,7
2,13,7
2,13,2
5,13,7
5,14,5
3,14,2
2,14,7
1,14,3
2,15,4
1,15,6
3,15,3
4,15,3
3,16,4
1,16,7
2,16,6
3,16,5
5,17,4
5,17,7
3,17,5
2,17,2
2,18,2
3,18,3
2,18,6
1,18,4
2,19,6
5,19,2
2,19,4
5,19,4
