dest,inb train,nb rc
1,0,7
3,0,5
2,0,2
2,0,6
1,1,1
5,1,5
5,1,1
3,1,6
5,2,6
1,2,3
1,2,5
5,2,6
2,3,3
5,3,7
1,3,7
4,3,5
2,4,1
5,4,4
5,4,1
5,4,5
5,5,2
1,5,6
4,5,6
1,5,6
5,6,7
4,6,5
2,6,7
3,6,3
4,7,7
1,7,3
1,7,5
3,7,6
1,8,3
1,8,6
4,8,5
1,8,5
3,9,4
5,9,5
4,9,1
1,9,3
3,10,2
4,10,1
5,10,2
3,10,4
2,11,1
4,11,6
5,11,3
1,11,1
5,12,6
3,12,5
2,12,5
3,12,1
5,13,4
1,13,7
3,13,2
1,13,7
5,14,5
2,14,7
1,14,1
2,14,5
2,15,2
5,15,7
3,15,7
5,15,7
1,16,1
3,16,7
5,16,3
5,16,5
4,17,5
2,17,2
3,17,3
4,17,2
3,18,5
1,18,4
2,18,3
2,18,5
4,19,5
1,19,4
3,19,7
4,19,4
