dest,inb train,nb rc
2,0,1
1,0,2
2,0,3
2,0,1
2,1,6
2,1,3
2,1,2
2,1,1
2,2,4
2,2,4
2,2,7
1,2,5
1,3,5
2,3,5
2,3,1
1,3,6
1,4,5
1,4,3
2,4,4
2,4,3
1,5,3
2,5,2
1,5,5
1,5,7
1,6,7
2,6,7
2,6,1
1,6,7
2,7,2
2,7,2
1,7,1
2,7,6
1,8,1
2,8,1
1,8,5
1,8,7
1,9,7
1,9,5
2,9,7
2,9,5
2,10,4
1,10,4
2,10,5
1,10,6
1,11,5
2,11,3
1,11,6
1,11,1
1,12,5
1,12,7
2,12,3
1,12,4
2,13,1
2,13,6
1,13,1
1,13,6
2,14,4
2,14,6
1,14,4
2,14,4
2,15,5
2,15,2
2,15,5
2,15,2
2,16,7
2,16,2
2,16,6
1,16,3
1,17,5
2,17,6
1,17,6
2,17,6
2,18,2
2,18,7
1,18,2
1,18,3
2,19,6
1,19,4
1,19,1
1,19,6
