dest,inb train,nb rc
5,0,4
1,0,5
2,0,1
3,0,7
5,1,1
2,1,2
3,1,2
2,1,3
5,2,5
1,2,6
5,2,1
1,2,6
4,3,2
2,3,2
1,3,2
2,3,7
4,4,4
3,4,5
2,4,2
5,4,1
2,5,3
1,5,6
2,5,6
4,5,3
5,6,4
4,6,6
2,6,6
3,6,6
4,7,6
1,7,5
5,7,2
5,7,4
1,8,6
4,8,5
4,8,7
5,8,3
1,9,1
3,9,7
1,9,3
5,9,3
5,10,1
2,10,2
1,10,6
3,10,7
1,11,1
2,11,7
5,11,3
2,11,4
2,12,5
2,12,1
4,12,2
4,12,1
2,13,3
2,13,7
1,13,5
5,13,4
1,14,2
5,14,3
2,14,3
1,14,5
1,15,4
4,15,5
1,15,7
5,15,1
3,16,7
5,16,7
5,16,2
1,16,4
1,17,2
4,17,2
1,17,7
1,17,5
2,18,7
1,18,5
2,18,6
1,18,3
2,19,3
2,19,2
1,19,5
1,19,3
