dest,inb train,nb rc
1,0,5
1,0,7
5,0,2
5,0,1
1,1,2
4,1,3
3,1,6
1,1,3
3,2,3
2,2,5
4,2,4
3,2,6
3,3,7
2,3,6
2,3,2
5,3,6
3,4,4
2,4,6
4,4,5
3,4,1
3,5,4
1,5,3
5,5,2
5,5,1
4,6,7
3,6,3
3,6,6
2,6,4
1,7,2
1,7,7
4,7,3
3,7,1
5,8,1
4,8,2
2,8,6
5,8,3
5,9,6
2,9,5
3,9,5
4,9,3
3,10,2
1,10,4
1,10,7
3,10,4
3,11,1
4,11,5
5,11,4
1,11,4
5,12,7
1,12,2
1,12,2
2,12,5
3,13,6
5,13,3
4,13,7
2,13,1
1,14,7
4,14,2
2,14,7
4,14,5
2,15,1
4,15,4
3,15,5
5,15,3
1,16,2
3,16,4
4,16,7
4,16,5
1,17,1
3,17,6
5,17,3
4,17,2
5,18,2
2,18,1
3,18,2
1,18,2
3,19,6
1,19,6
2,19,4
4,19,5
