dest,inb train,nb rc
1,0,4
3,0,5
5,0,1
3,0,5
2,1,5
3,1,3
3,1,3
1,1,6
1,2,6
5,2,7
3,2,4
2,2,1
3,3,2
3,3,6
3,3,2
1,3,7
1,4,5
5,4,3
1,4,6
4,4,5
3,5,3
3,5,7
3,5,4
3,5,6
4,6,4
4,6,4
2,6,4
2,6,5
4,7,7
1,7,2
3,7,7
1,7,6
5,8,4
1,8,5
5,8,5
1,8,5
5,9,2
1,9,3
2,9,7
4,9,6
1,10,7
5,10,2
3,10,2
4,10,2
2,11,2
3,11,7
2,11,7
3,11,7
1,12,7
5,12,3
5,12,7
3,12,2
5,13,2
1,13,1
3,13,1
3,13,7
4,14,7
3,14,6
1,14,1
5,14,1
5,15,6
5,15,3
3,15,2
4,15,6
4,16,7
5,16,1
2,16,3
3,16,7
5,17,3
1,17,4
4,17,3
4,17,1
2,18,2
3,18,2
3,18,1
3,18,1
3,19,5
5,19,1
5,19,4
1,19,7
