Id,dest,cap,arr,dep,inb,type
0,1,40,511,0,1,Inbound train without any special treatment.
1,2,40,513,0,1,Inbound train without any special treatment.
2,4,40,64,0,1,Inbound train without any special treatment.
3,1,40,230,0,1,Inbound train without any special treatment.
4,3,40,130,0,1,Inbound train without any special treatment.
5,4,40,0,877,0,Outbound train that leaves the yard from the classification tracks.
6,5,40,0,1375,0,Outbound train that leaves the yard from the classification tracks.
7,2,40,0,1273,0,Outbound train that leaves the yard from the classification tracks.
8,3,40,0,996,0,Outbound train that leaves the yard from the classification tracks.
9,1,40,0,1122,0,Outbound train that leaves the yard from the classification tracks.
