Id,dest,cap,arr,dep,inb,type
0,1,40,498,0,1,Inbound train without any special treatment.
1,1,40,235,0,1,Inbound train without any special treatment.
2,1,40,379,0,1,Inbound train without any special treatment.
3,1,40,560,0,1,Inbound train without any special treatment.
4,1,40,511,0,1,Inbound train without any special treatment.
5,1,40,0,1240,0,Outbound train that leaves the yard from the classification tracks.
6,1,40,0,998,0,Outbound train that leaves the yard from the classification tracks.
7,1,40,0,937,0,Outbound train that leaves the yard from the classification tracks.
8,1,40,0,1041,0,Outbound train that leaves the yard from the classification tracks.
9,1,40,0,1318,0,Outbound train that leaves the yard from the classification tracks.
