Id,dest,cap,arr,dep,inb,type
0,1,40,455,0,1,Inbound train with special treatment.
1,1,40,103,0,1,Inbound train with special treatment.
2,1,40,249,0,1,Inbound train with special treatment.
3,1,40,286,0,1,Inbound train with special treatment.
4,1,40,517,0,1,Inbound train with special treatment.
5,1,40,345,0,1,Inbound train with special treatment.
6,1,40,517,0,1,Inbound train with special treatment.
7,1,40,136,0,1,Inbound train with special treatment.
8,1,40,192,0,1,Inbound train with special treatment.
9,1,40,74,0,1,Inbound train with special treatment.
10,1,40,0,920,0,Outbound train that leaves the yard from the departure tracks.
11,1,40,0,1058,0,Outbound train that leaves the yard from the departure tracks.
12,1,40,0,1393,0,Outbound train that leaves the yard from the departure tracks.
13,1,40,0,1324,0,Outbound train that leaves the yard from the departure tracks.
14,1,40,0,997,0,Outbound train that leaves the yard from the departure tracks.
15,1,40,0,1140,0,Outbound train that leaves the yard from the departure tracks.
16,1,40,0,1143,0,Outbound train that leaves the yard from the departure tracks.
17,1,40,0,1409,0,Outbound train that leaves the yard from the departure tracks.
18,1,40,0,1141,0,Outbound train that leaves the yard from the departure tracks.
19,1,40,0,1011,0,Outbound train that leaves the yard from the departure tracks.
