Id,dest,cap,arr,dep,inb,type
0,2,40,663,0,1,Inbound train without any special treatment.
1,2,40,166,0,1,Inbound train without any special treatment.
2,1,40,394,0,1,Inbound train with special treatment.
3,2,40,504,0,1,Inbound train with special treatment.
4,2,40,291,0,1,Inbound train with special treatment.
5,1,40,0,794,0,Outbound train that leaves the yard from the classification tracks.
6,1,40,0,997,0,Outbound train that leaves the yard from the classification tracks.
7,1,40,0,1224,0,Outbound train that leaves the yard from the departure tracks.
8,2,40,0,1062,0,Outbound train that leaves the yard from the departure tracks.
9,2,40,0,925,0,Outbound train that leaves the yard from the departure tracks.
