Id,dest,cap,arr,dep,inb,type
0,2,40,331,0,1,Inbound train without any special treatment.
1,2,40,675,0,1,Inbound train without any special treatment.
2,1,40,339,0,1,Inbound train without any special treatment.
3,1,40,129,0,1,Inbound train without any special treatment.
4,1,40,310,0,1,Inbound train without any special treatment.
5,1,40,274,0,1,Inbound train without any special treatment.
6,1,40,481,0,1,Inbound train without any special treatment.
7,2,40,257,0,1,Inbound train without any special treatment.
8,2,40,492,0,1,Inbound train without any special treatment.
9,1,40,125,0,1,Inbound train without any special treatment.
10,2,40,104,0,1,Inbound train with special treatment.
11,1,40,144,0,1,Inbound train with special treatment.
12,1,40,245,0,1,Inbound train with special treatment.
13,1,40,124,0,1,Inbound train with special treatment.
14,2,40,486,0,1,Inbound train with special treatment.
15,1,40,433,0,1,Inbound train with special treatment.
16,1,40,302,0,1,Inbound train with special treatment.
17,2,40,524,0,1,Inbound train with special treatment.
18,2,40,210,0,1,Inbound train with special treatment.
19,2,40,506,0,1,Inbound train with special treatment.
20,2,40,0,633,0,Outbound train that leaves the yard from the classification tracks.
21,1,40,0,940,0,Outbound train that leaves the yard from the classification tracks.
22,1,40,0,1241,0,Outbound train that leaves the yard from the classification tracks.
23,2,40,0,1285,0,Outbound train that leaves the yard from the classification tracks.
24,1,40,0,820,0,Outbound train that leaves the yard from the classification tracks.
25,2,40,0,1203,0,Outbound train that leaves the yard from the classification tracks.
26,1,40,0,703,0,Outbound train that leaves the yard from the classification tracks.
27,1,40,0,973,0,Outbound train that leaves the yard from the classification tracks.
28,2,40,0,1212,0,Outbound train that leaves the yard from the classification tracks.
29,2,40,0,1314,0,Outbound train that leaves the yard from the classification tracks.
30,1,40,0,1261,0,Outbound train that leaves the yard from the departure tracks.
31,1,40,0,1321,0,Outbound train that leaves the yard from the departure tracks.
32,2,40,0,648,0,Outbound train that leaves the yard from the departure tracks.
33,1,40,0,1178,0,Outbound train that leaves the yard from the departure tracks.
34,2,40,0,1325,0,Outbound train that leaves the yard from the departure tracks.
35,1,40,0,1149,0,Outbound train that leaves the yard from the departure tracks.
36,2,40,0,1033,0,Outbound train that leaves the yard from the departure tracks.
37,2,40,0,1336,0,Outbound train that leaves the yard from the departure tracks.
38,2,40,0,1278,0,Outbound train that leaves the yard from the departure tracks.
39,1,40,0,1151,0,Outbound train that leaves the yard from the departure tracks.
