Id,dest,cap,arr,dep,inb,type
0,1,40,407,0,1,Inbound train without any special treatment.
1,1,40,215,0,1,Inbound train without any special treatment.
2,1,40,757,0,1,Inbound train without any special treatment.
3,1,40,139,0,1,Inbound train without any special treatment.
4,1,40,112,0,1,Inbound train without any special treatment.
5,1,40,19,0,1,Inbound train with special treatment.
6,2,40,707,0,1,Inbound train with special treatment.
7,2,40,516,0,1,Inbound train with special treatment.
8,1,40,344,0,1,Inbound train with special treatment.
9,1,40,154,0,1,Inbound train with special treatment.
10,1,40,0,692,0,Outbound train that leaves the yard from the classification tracks.
11,1,40,0,945,0,Outbound train that leaves the yard from the classification tracks.
12,2,40,0,1394,0,Outbound train that leaves the yard from the classification tracks.
13,2,40,0,1241,0,Outbound train that leaves the yard from the classification tracks.
14,1,40,0,1179,0,Outbound train that leaves the yard from the classification tracks.
15,1,40,0,1035,0,Outbound train that leaves the yard from the departure tracks.
16,2,40,0,1265,0,Outbound train that leaves the yard from the departure tracks.
17,1,40,0,716,0,Outbound train that leaves the yard from the departure tracks.
18,2,40,0,1332,0,Outbound train that leaves the yard from the departure tracks.
19,2,40,0,857,0,Outbound train that leaves the yard from the departure tracks.
