Id,dest,cap,arr,dep,inb,type
0,1,40,112,0,1,Inbound train without any special treatment.
1,1,40,575,0,1,Inbound train without any special treatment.
2,1,40,454,0,1,Inbound train without any special treatment.
3,2,40,340,0,1,Inbound train without any special treatment.
4,2,40,247,0,1,Inbound train without any special treatment.
5,1,40,725,0,1,Inbound train with special treatment.
6,1,40,517,0,1,Inbound train with special treatment.
7,1,40,523,0,1,Inbound train with special treatment.
8,2,40,564,0,1,Inbound train with special treatment.
9,1,40,204,0,1,Inbound train with special treatment.
10,2,40,0,824,0,Outbound train that leaves the yard from the classification tracks.
11,1,40,0,918,0,Outbound train that leaves the yard from the classification tracks.
12,1,40,0,624,0,Outbound train that leaves the yard from the classification tracks.
13,2,40,0,946,0,Outbound train that leaves the yard from the classification tracks.
14,2,40,0,1023,0,Outbound train that leaves the yard from the classification tracks.
15,1,40,0,1242,0,Outbound train that leaves the yard from the departure tracks.
16,1,40,0,1276,0,Outbound train that leaves the yard from the departure tracks.
17,2,40,0,1113,0,Outbound train that leaves the yard from the departure tracks.
18,2,40,0,1342,0,Outbound train that leaves the yard from the departure tracks.
19,1,40,0,1066,0,Outbound train that leaves the yard from the departure tracks.
