Id,dest,cap,arr,dep,inb,type
0,1,40,177,0,1,Inbound train without any special treatment.
1,1,40,263,0,1,Inbound train without any special treatment.
2,1,40,392,0,1,Inbound train with special treatment.
3,2,40,638,0,1,Inbound train with special treatment.
4,1,40,671,0,1,Inbound train with special treatment.
5,1,40,0,1327,0,Outbound train that leaves the yard from the classification tracks.
6,1,40,0,955,0,Outbound train that leaves the yard from the classification tracks.
7,1,40,0,887,0,Outbound train that leaves the yard from the departure tracks.
8,2,40,0,1399,0,Outbound train that leaves the yard from the departure tracks.
9,2,40,0,1371,0,Outbound train that leaves the yard from the departure tracks.
