Id,dest,cap,arr,dep,inb,type
0,4,40,494,0,1,Inbound train without any special treatment.
1,3,40,748,0,1,Inbound train without any special treatment.
2,4,40,499,0,1,Inbound train with special treatment.
3,1,40,591,0,1,Inbound train with special treatment.
4,3,40,466,0,1,Inbound train with special treatment.
5,1,40,0,830,0,Outbound train that leaves the yard from the classification tracks.
6,5,40,0,676,0,Outbound train that leaves the yard from the classification tracks.
7,3,40,0,1277,0,Outbound train that leaves the yard from the departure tracks.
8,2,40,0,937,0,Outbound train that leaves the yard from the departure tracks.
9,4,40,0,1270,0,Outbound train that leaves the yard from the departure tracks.
