Id,dest,cap,arr,dep,inb,type
0,5,40,432,0,1,Inbound train without any special treatment.
1,3,40,477,0,1,Inbound train without any special treatment.
2,1,40,32,0,1,Inbound train with special treatment.
3,1,40,271,0,1,Inbound train with special treatment.
4,3,40,738,0,1,Inbound train with special treatment.
5,5,40,0,1064,0,Outbound train that leaves the yard from the classification tracks.
6,4,40,0,902,0,Outbound train that leaves the yard from the classification tracks.
7,3,40,0,723,0,Outbound train that leaves the yard from the departure tracks.
8,1,40,0,1013,0,Outbound train that leaves the yard from the departure tracks.
9,2,40,0,1362,0,Outbound train that leaves the yard from the departure tracks.
