Id,dest,cap,arr,dep,inb,type
0,3,40,224,0,1,Inbound train without any special treatment.
1,3,40,387,0,1,Inbound train without any special treatment.
2,3,40,807,0,1,Inbound train without any special treatment.
3,5,40,700,0,1,Inbound train without any special treatment.
4,5,40,347,0,1,Inbound train without any special treatment.
5,2,40,414,0,1,Inbound train with special treatment.
6,2,40,612,0,1,Inbound train with special treatment.
7,5,40,307,0,1,Inbound train with special treatment.
8,1,40,307,0,1,Inbound train with special treatment.
9,2,40,473,0,1,Inbound train with special treatment.
10,3,40,0,910,0,Outbound train that leaves the yard from the classification tracks.
11,5,40,0,729,0,Outbound train that leaves the yard from the classification tracks.
12,5,40,0,1021,0,Outbound train that leaves the yard from the classification tracks.
13,1,40,0,1370,0,Outbound train that leaves the yard from the classification tracks.
14,1,40,0,801,0,Outbound train that leaves the yard from the classification tracks.
15,2,40,0,791,0,Outbound train that leaves the yard from the departure tracks.
16,4,40,0,1051,0,Outbound train that leaves the yard from the departure tracks.
17,2,40,0,1124,0,Outbound train that leaves the yard from the departure tracks.
18,3,40,0,1310,0,Outbound train that leaves the yard from the departure tracks.
19,4,40,0,1163,0,Outbound train that leaves the yard from the departure tracks.
