Id,dest,cap,arr,dep,inb,type
0,2,40,570,0,1,Inbound train without any special treatment.
1,2,40,151,0,1,Inbound train without any special treatment.
2,2,40,757,0,1,Inbound train without any special treatment.
3,2,40,575,0,1,Inbound train without any special treatment.
4,1,40,128,0,1,Inbound train without any special treatment.
5,2,40,637,0,1,Inbound train without any special treatment.
6,1,40,497,0,1,Inbound train without any special treatment.
7,2,40,63,0,1,Inbound train without any special treatment.
8,2,40,773,0,1,Inbound train without any special treatment.
9,2,40,637,0,1,Inbound train without any special treatment.
10,1,40,469,0,1,Inbound train with special treatment.
11,1,40,144,0,1,Inbound train with special treatment.
12,2,40,768,0,1,Inbound train with special treatment.
13,2,40,86,0,1,Inbound train with special treatment.
14,1,40,352,0,1,Inbound train with special treatment.
15,1,40,694,0,1,Inbound train with special treatment.
16,1,40,421,0,1,Inbound train with special treatment.
17,1,40,664,0,1,Inbound train with special treatment.
18,2,40,171,0,1,Inbound train with special treatment.
19,1,40,591,0,1,Inbound train with special treatment.
20,2,40,0,890,0,Outbound train that leaves the yard from the classification tracks.
21,2,40,0,1165,0,Outbound train that leaves the yard from the classification tracks.
22,2,40,0,1211,0,Outbound train that leaves the yard from the classification tracks.
23,1,40,0,725,0,Outbound train that leaves the yard from the classification tracks.
24,2,40,0,1082,0,Outbound train that leaves the yard from the classification tracks.
25,1,40,0,1354,0,Outbound train that leaves the yard from the classification tracks.
26,2,40,0,790,0,Outbound train that leaves the yard from the classification tracks.
27,1,40,0,790,0,Outbound train that leaves the yard from the classification tracks.
28,1,40,0,1308,0,Outbound train that leaves the yard from the classification tracks.
29,1,40,0,1282,0,Outbound train that leaves the yard from the classification tracks.
30,2,40,0,1022,0,Outbound train that leaves the yard from the departure tracks.
31,1,40,0,869,0,Outbound train that leaves the yard from the departure tracks.
32,1,40,0,1065,0,Outbound train that leaves the yard from the departure tracks.
33,1,40,0,1143,0,Outbound train that leaves the yard from the departure tracks.
34,1,40,0,1003,0,Outbound train that leaves the yard from the departure tracks.
35,1,40,0,1187,0,Outbound train that leaves the yard from the departure tracks.
36,2,40,0,798,0,Outbound train that leaves the yard from the departure tracks.
37,2,40,0,1396,0,Outbound train that leaves the yard from the departure tracks.
38,2,40,0,1367,0,Outbound train that leaves the yard from the departure tracks.
39,2,40,0,1003,0,Outbound train that leaves the yard from the departure tracks.
